,phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
0,6901311,https://clouddoc-authorize.firebaseapp.com/......xx.../......,http://www.phishtank.com/phish_detail.php?phish_id=6901311,2020-12-24T14:06:08+00:00,yes,2020-12-24T14:34:21+00:00,yes,Other
1,6852926,https://www.evernote.com/shard/s446/sh/483c5f32-f1b7-7c70-925c-47f2705bab52/911c810bd15ccbd1f19fba1c3e4cc4d5,http://www.phishtank.com/phish_detail.php?phish_id=6852926,2020-11-17T17:53:12+00:00,yes,2020-12-01T07:07:20+00:00,yes,Other
2,7029878,https://dvyqrabdukziycbjrstaumjvtr-dot-gle39404049.rj.r.appspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=7029878,2021-03-18T02:18:14+00:00,yes,2021-03-18T03:07:26+00:00,yes,Other
3,6715011,http://www.51jianli.cn/images/?us.battle.net/login/en?ref=xyvrmzdus.battle,http://www.phishtank.com/phish_detail.php?phish_id=6715011,2020-08-02T14:02:57+00:00,yes,2020-08-02T14:07:52+00:00,yes,Other
4,7059009,https://amazonhelp02.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7059009,2021-04-05T19:49:46+00:00,yes,2021-04-05T19:50:33+00:00,yes,Other
5,6913875,http://lloydsbank.login-personal-devices.com/,http://www.phishtank.com/phish_detail.php?phish_id=6913875,2021-01-07T02:04:42+00:00,yes,2021-01-07T02:56:02+00:00,yes,Other
6,7047304,http://vvbzcdxbkprckhkctinikkisch-dot-gle39404049.rj.r.appspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=7047304,2021-03-27T14:13:30+00:00,yes,2021-03-27T14:38:51+00:00,yes,Other
7,6400825,https://docs.google.com/forms/d/e/1FAIpQLSfkoBo05nZCTS8CBcep5gMsWnodxXpT1EvMDtQR5YZx2o6VlA/viewform?usp=send_form,http://www.phishtank.com/phish_detail.php?phish_id=6400825,2020-02-13T18:09:39+00:00,yes,2020-02-16T06:45:56+00:00,yes,Other
8,6367182,https://app.box.com/s/ymr0ltw3hmn8icxebz16gjhcyhqa49w4,http://www.phishtank.com/phish_detail.php?phish_id=6367182,2020-01-22T19:57:55+00:00,yes,2020-01-26T22:41:28+00:00,yes,Other
9,6869404,https://breakevents.de/wp-content/plugins/contact-form-7/,http://www.phishtank.com/phish_detail.php?phish_id=6869404,2020-11-30T15:46:49+00:00,yes,2020-11-30T17:28:43+00:00,yes,Internal Revenue Service
10,7065831,http://secur0-alrt-fcbk-paqes-systems-recover1.gq/Check-confirmations.html,http://www.phishtank.com/phish_detail.php?phish_id=7065831,2021-04-11T00:18:36+00:00,yes,2021-04-11T00:23:57+00:00,yes,Facebook
11,7055444,https://b4xe1.cn/mww0j/homepage/,http://www.phishtank.com/phish_detail.php?phish_id=7055444,2021-04-02T14:04:58+00:00,yes,2021-04-07T10:26:51+00:00,yes,Other
12,6943965,https://click.enignite.de/ga/click/2-185080795-152-39753-76080-167051-4ef64fac69-24ed3b3d11,http://www.phishtank.com/phish_detail.php?phish_id=6943965,2021-01-30T10:42:52+00:00,yes,2021-02-16T07:26:53+00:00,yes,Other
13,7018157,http://ijvidnoizrupftwcfcsjtgjhkg-dot-gle39404049.rj.r.appspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=7018157,2021-03-13T02:11:41+00:00,yes,2021-03-13T02:37:57+00:00,yes,Other
14,6407766,https://www.kisa.link/url_redirector.php?url=MQP9,http://www.phishtank.com/phish_detail.php?phish_id=6407766,2020-02-18T15:01:14+00:00,yes,2020-03-12T21:45:38+00:00,yes,Other
15,6861818,https://linktr.ee/levinhoevents,http://www.phishtank.com/phish_detail.php?phish_id=6861818,2020-11-24T19:57:23+00:00,yes,2020-12-04T05:33:02+00:00,yes,Other
16,6953390,http://login-webregistrobr.com/app/,http://www.phishtank.com/phish_detail.php?phish_id=6953390,2021-02-05T14:01:51+00:00,yes,2021-02-05T18:26:49+00:00,yes,Other
17,6928503,https://www.credilatam.com/,http://www.phishtank.com/phish_detail.php?phish_id=6928503,2021-01-20T12:12:41+00:00,yes,2021-01-20T12:16:21+00:00,yes,Other
