Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End
sct-pst.ml,0,0,1,3,0,0,0,1,0,1,1,1
impotspublicservice.com,0,0,1,1,0,0,0,0,0,1,0,1
grms.cit.net,0,0,0,2,0,0,0,0,0,1,0,0
authorised-registered-device.com,0,0,1,2,0,0,0,1,0,1,0,0
whatsapps.lflinkup.com,0,0,0,0,0,0,0,0,0,1,0,0
pubgmobile.com.xxucpubg.com,0,0,0,1,0,0,0,0,0,1,0,1
rakutoen-p3zk.cc,0,0,0,0,0,0,0,1,0,1,0,0
casaverdeatelie.com,0,0,0,0,0,0,0,0,0,1,0,1
weightlosseasyguide.com,0,0,1,7,0,0,0,0,0,1,0,0
onlinenewpayee-check.com,0,0,0,1,0,0,0,1,0,1,0,0
ebay.portlibertecontractor.com,0,0,1,3,0,0,0,0,0,1,0,0
adsbusinessaccountcreditscoupons.com,0,0,0,0,0,0,0,0,0,1,0,0
myo2-billing-error28.com,0,0,1,2,0,0,0,1,0,1,0,0
aiscbe.edu.in,0,0,1,1,0,0,0,0,0,1,0,0
suspfacebookcom-66071638.nightaway.ca,0,0,1,1,0,0,0,1,0,1,0,0
remontada.net,0,0,1,1,0,0,0,0,0,1,0,1
onedrive.live.com,0,0,1,1,0,0,0,0,0,1,0,0
sgozq-alternate.app.link,0,0,0,0,0,0,0,1,0,1,0,0
arisebuildscom-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,1
tighi.creatorlink.net,0,0,0,0,0,0,0,0,0,1,0,0
condosforsalegriffintown.com,0,0,1,3,0,0,0,0,0,1,0,1
golfballsonline.com,0,0,0,2,0,0,0,0,0,1,0,0
ebuddynews.com,0,0,0,3,0,0,0,0,0,1,0,0
nocontent-rztwjtyn.velocityhub.com,0,0,1,1,0,0,0,1,0,1,0,0
aishwaryainteriors.in,0,0,0,2,0,0,0,0,0,1,0,0
dhl.com-en-express.tracking.number.velius.com,0,0,1,2,0,0,0,1,0,1,0,1
restrictions-uk.com,0,0,0,0,0,0,0,1,0,1,0,0
amazonlogistics-ap-northeast-1.amazonlogistics.jp,0,0,1,2,1,0,0,1,0,1,1,1
activefb-669617056.sunconstanta.ro,0,0,1,1,0,0,0,1,0,1,0,0
freefireeberbagi2134.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,0
r7vfe.csb.app,0,0,0,0,0,0,0,0,0,1,0,1
ambientaudio.ca,0,0,1,6,0,0,0,0,0,1,0,0
secure.login.aliexpress.com.coin-balance.com,0,0,1,1,0,0,0,1,0,1,0,1
bit.ly,0,0,0,1,0,0,1,0,0,0,0,0
www-europe564598-com.filesusr.com,0,0,1,2,0,0,0,1,0,1,0,0
littlefoots.ru,0,0,1,1,0,0,0,0,0,1,0,1
dental12.com,0,0,0,1,0,0,0,0,0,1,0,1
unitus.mk.ua,0,0,1,11,0,0,0,0,0,1,1,1
paypal-uk-webcmd-login.done-login-access-krf41asdsge4h6g354sa3sdwej5yxncv54er.sentient.asia,0,0,1,3,0,0,0,1,0,1,0,0
odhikar.com,0,0,0,3,0,0,0,0,0,1,0,1
d5wxk.csb.app,0,0,0,0,0,0,0,0,0,1,0,1
vodafonenotice.com,0,0,0,2,0,0,1,0,0,1,0,0
ebay.yellow4low.com,0,0,1,3,0,0,0,0,0,1,0,1
ebay.nascohvac.com,0,0,1,3,0,0,0,0,0,1,0,1
massageandprayers.com,0,1,1,5,0,0,0,0,0,1,0,0
lovelykidsatarra.co.in,0,0,1,4,0,0,0,0,0,1,0,0
78.143.96.35,0,0,0,3,0,0,0,0,0,1,0,0
br622.teste.website,0,0,0,2,0,0,0,0,0,1,1,1
xhlgt.mjt.lu,0,0,1,5,0,0,0,0,0,1,1,1
gmail-phone-support.com,0,0,0,0,0,0,1,1,0,1,0,0
paypal.abdverse.com,0,0,0,0,0,0,0,0,0,1,0,1
anarchitecturestudio.com,0,0,1,6,0,0,0,0,0,1,0,0
evernote.com,0,0,1,4,0,0,0,0,0,0,0,0
41imoveis.com.br,0,0,1,4,0,0,0,0,0,1,1,1
volarevic.com,0,0,0,5,0,0,0,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,0
littlefoots.ru,0,0,1,1,0,0,0,0,0,1,0,1
secure.login.aliexpress.com.coin-balance.com,0,0,1,1,0,0,0,1,0,1,0,1
photographybyallen.com,0,0,1,5,0,0,0,0,0,1,0,0
secure-halifaxaccount.com,0,0,0,0,0,0,1,1,0,1,0,0
rabofree.blogspot.com,0,0,0,1,0,0,1,0,1,1,1,1
impotspublicservice.com,0,0,1,1,0,0,0,0,0,1,0,1
accounts.google.com,0,0,1,1,1,0,0,0,0,1,0,0
bodegalatinacorp-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,1
northsolos.com,0,0,1,4,0,0,0,0,0,1,0,0
cdj-ca.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,0
secure.runescape.com-rf.cz,0,0,0,0,0,0,0,1,0,1,0,1
brighant.com,0,0,0,1,0,0,1,0,0,1,0,0
pbi.unsam.ac.id,0,0,1,4,0,0,0,0,0,1,0,0
createchsoft.com,0,0,0,4,0,0,1,0,0,1,0,0
osmaslo.ru,0,0,1,4,1,0,0,0,0,1,0,1
obslive.oss-eu-west-1.aliyuncs.com,0,0,1,1,0,0,0,1,0,1,0,1
paypal.com.service.id999.sorttheweb.com,0,0,1,2,0,0,0,0,0,1,0,0
exodus-staking.web.app,0,0,0,0,0,0,0,1,0,1,0,0
sri-frankfurt.org,0,0,1,2,0,0,0,1,0,1,0,0
securityupdatereview-365online.com,0,0,0,1,0,0,0,1,0,1,0,0
dofus-eventoffi.com,0,0,0,0,0,0,0,1,0,1,0,1
littlefoots.ru:443,0,0,1,1,0,0,0,0,0,1,1,1
centrofuoristrada.com,0,1,1,5,0,0,0,0,0,1,0,1
acumulandopontos.myddns.me,0,0,0,0,0,0,0,0,0,1,0,0
saissco.com,0,0,1,4,0,0,0,0,0,1,0,1
myo2-billing-error83.com,0,0,1,2,0,0,0,1,0,1,0,0
secure.runescape.rs-nl.xyz,0,0,0,0,0,0,0,1,0,1,0,0
mahebrasil.com.br,0,0,0,1,0,0,0,0,0,1,1,1
jp-rakuten.c-1.top,0,0,0,0,0,0,0,1,0,1,0,0
bank-of-america-secure00.dns05.com,0,0,1,4,0,0,0,1,0,1,0,0
cyrela-imoveis.blogspot.com,0,0,0,0,0,0,1,1,1,1,1,1
google.com,0,0,1,1,0,0,0,0,0,0,0,0
6e9rz0764348.wixsite.com,0,0,0,1,0,0,0,0,0,1,0,1
aksoydanismanlik.com,0,0,0,2,0,0,0,0,0,1,0,0
crowleprimary-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,1
skingiftmlxnewfree.forumz.info,0,0,0,2,0,0,0,0,0,1,0,0
vieuxshack.com,0,0,1,4,0,0,0,0,0,1,0,0
dzd.rksmb.org,0,0,1,5,0,0,1,0,0,1,0,0
ldsplanettt.yolasite.com,0,0,0,1,0,0,0,0,1,1,1,1
ebay.nascohvac.com,0,0,1,3,0,0,0,0,0,1,0,1
usercaixaeconomica.southeastasia.cloudapp.azure.com,0,0,1,4,0,0,0,0,0,1,0,0
proxima-net.com,0,0,0,2,0,0,1,1,0,1,0,0
att-prime.com,0,0,0,0,0,0,0,1,0,1,0,0
sec-login-device.com,0,0,0,1,0,0,0,1,0,1,0,0
ahc98asch8sac.virenab490-dsgvd-vbdsb-sdb.workers.dev,0,0,1,0,0,0,0,1,0,1,0,0
main.d2qj963sy57moj.amplifyapp.com,0,0,1,1,0,0,0,0,0,1,0,1
gruposcherman.com.br,0,0,1,4,0,0,0,0,0,1,1,0
owambewww.com,0,0,0,0,0,0,0,0,0,1,0,0
PayPal.unlock-myaccount.com,0,0,0,0,0,0,1,1,0,1,0,1
lgt-plc.com,0,0,0,2,0,0,0,1,0,1,0,1
webbbb.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1
freebetbahis.com,0,0,0,0,0,0,0,0,0,1,0,0
umbrellacorp.id,0,0,1,2,0,0,0,0,0,1,0,1
avia.tickets.ru,0,0,0,0,0,0,0,0,0,1,0,0
kovolem.cz,0,0,1,1,0,0,0,0,1,1,1,1
paypal-uk-webcmd-login.done-login-access-krf41asdsge4h6g354sa3sdwej5yxncv54er.sentient.asia,0,0,1,4,0,0,0,1,0,1,0,0
ajafis.com,0,0,0,1,0,0,0,0,0,1,0,1
apoga.net,0,0,1,18,0,0,0,0,0,1,0,1
intsrgamfollowers.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,0
myee-bill-update.com,0,0,0,0,0,0,0,1,1,1,1,1
51jianli.cn,0,0,1,1,0,0,0,0,0,1,0,0
bit.ly,0,0,0,1,0,0,1,0,0,0,0,0
besthomeworkhelp.org,0,0,1,2,0,0,0,0,0,1,0,0
services.runescape.com-oc.ru,0,0,1,2,0,0,0,1,0,1,0,0
ooxvocalor.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1
dezmed.ru,0,1,1,18,0,0,0,0,0,1,0,0
clouddoc-authorize.firebaseapp.com,0,0,1,2,0,0,0,1,1,1,1,1
securehalifaxonline-account.com,0,0,0,0,0,0,1,1,0,1,0,0
pathikareps.com,0,0,1,3,0,0,0,0,0,1,0,1
ebay.luxrealtyllc.com,0,0,1,3,0,0,0,0,0,1,0,0
signin-eday.edayisapidll.net,0,0,1,1,0,0,0,1,0,1,0,0
energynsolucoes.com.br,0,0,0,1,0,0,0,0,0,1,1,1
tb915hdh89.mfs.gg,0,0,0,1,0,0,0,0,0,1,1,1
cg-oe.snprobbx.pbz.r.de.a2ip.ru,0,0,1,1,0,0,0,1,0,1,0,0
psychicsonline.net,0,0,1,3,0,0,0,0,0,1,0,0
attnc.site.bm,0,0,0,0,0,0,0,0,0,1,1,1
duffelbagadventures.com,0,0,1,2,0,0,0,0,0,1,0,1
clouddoc-authorize.firebaseapp.com,0,0,0,1,0,0,0,1,1,1,1,1
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,1
retirofclcr.com,0,0,0,0,0,0,0,0,0,1,0,1
gingerthaidallas.com,0,0,1,6,0,0,0,0,0,1,0,1
spectralwirejewelry.com,0,0,1,4,0,0,0,0,0,1,0,1
anbf.adv.br,0,0,1,6,0,0,0,0,0,1,1,0
lloyds.payeehold.com,0,0,0,0,0,0,0,0,0,1,0,0
citycouncil-refund.com,0,0,0,0,0,0,0,1,0,1,0,0
carnegieproperty-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,1
share-relations.de,0,0,0,4,0,0,0,1,0,1,1,1
ebay.portlibertecontractor.com,0,0,1,3,0,0,0,0,0,1,0,0
settingfb881.webnode.com,0,0,0,0,0,0,0,0,0,1,0,0
krakenrums.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1
secure.login.aliexpress.com.coin-balance.com,0,0,1,1,0,0,0,1,0,1,0,1
digitalflashbacks.ca,0,0,1,5,0,0,0,0,0,1,0,1
fbpassport.com,0,0,1,1,0,0,1,0,0,1,0,0
telephoneacceuille.wixsite.com,0,0,0,1,0,0,0,0,0,1,0,1
company-mx-19916486547863324.tk,0,0,1,1,0,0,0,1,0,1,1,1
billinginfo-mynetflix.com,0,0,0,0,0,0,1,1,0,1,0,0
hrs-game.main.jp,0,0,0,1,0,0,0,1,0,1,1,1
yopihandrianto.net,0,0,0,1,0,0,0,0,0,1,0,1
tpv63.net,0,0,1,2,0,0,0,0,0,1,0,0
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,1
secure.login.aliexpress.com.coin-balance.com,0,0,0,0,0,0,0,1,0,1,0,1
vieuxshack.com,0,0,1,4,0,0,0,0,0,1,0,0
ebay.greenusallc.com,0,0,1,3,0,0,0,0,0,1,0,0
dfo.com.my,0,1,1,3,0,0,0,0,0,1,1,1
online.support-natwest.com,0,0,0,0,0,0,1,1,0,1,0,0
swap-giffgaff.support,0,0,0,0,0,0,0,1,0,1,0,0
a5apro.com,0,0,0,2,0,0,0,0,0,1,0,0
copay-paxful.com,0,0,0,0,0,0,0,1,0,1,0,0
1drv.ms,0,0,1,2,0,0,0,0,0,1,0,0
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,1
caixainformavoce.francecentral.cloudapp.azure.com,0,0,1,4,0,0,0,0,0,1,0,0
secure.login.aliexpress.com.coin-balance.com,0,0,1,1,0,0,0,1,0,1,0,1
amazon.de.signin.verification.openid.5935156.globthirsgare.cf,0,0,1,6,0,0,0,0,0,1,1,1
ebay.nascohvac.com,0,0,1,3,0,0,0,0,0,1,0,1
floorsdirectltd.co.uk,0,0,0,2,0,0,0,0,0,1,0,0
forms.gle,0,0,0,1,0,0,0,0,0,0,1,1
scoria-int.com,0,0,1,6,0,0,1,1,0,1,0,0
praticidadesegurancasempre.club,0,0,1,4,0,0,0,0,0,1,0,0
digitalflashbacks.ca,0,0,1,5,0,0,0,0,0,1,0,1
s.id,0,0,0,1,0,0,0,0,0,0,0,0
ebay.nascohvac.com,0,0,1,3,0,0,0,0,0,1,0,1
ee-billing-supports.com,0,0,0,0,0,0,0,1,0,1,0,0
onedocsb.atwebpages.com,0,0,0,0,0,0,0,0,0,1,0,1
xn--ltappen-80a.se,0,0,0,1,0,0,0,1,0,1,0,1
netevin.com,0,0,0,2,0,0,0,0,0,1,0,1
littlefoots.ru,0,0,1,1,0,0,0,0,0,1,0,1
rsautomations.com,0,0,1,8,0,0,0,0,0,1,0,1
spacedoing.com,0,0,1,4,0,0,0,0,0,1,0,0
joined-groupz-hot.jetos.com,0,0,0,0,0,0,0,1,0,1,0,0
buhofilms.com,0,0,0,2,0,0,0,0,0,1,0,1
alfrescocomforts.com,0,0,1,4,0,0,0,0,0,1,0,1
webmail.bakari.com.pl,0,0,1,3,0,0,0,0,0,1,1,1
romatermit.ro,0,0,0,1,0,0,0,0,0,1,0,0
expeditions-of-e.com,0,0,1,3,0,0,0,1,0,1,0,0
vixas.atwebpages.com,0,0,0,0,0,0,0,0,0,1,0,1
suspfacebookcom-19897473.nightaway.ca,0,0,1,1,0,0,0,1,0,1,0,0
kurortnoye.com.ua,0,1,1,3,0,0,0,0,0,1,1,0
floorsdirectltd.co.uk,0,0,0,2,0,0,0,0,0,1,0,0
14.63.195.13,0,0,0,0,0,0,0,0,0,1,1,1
emsi-lobo.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1
vieuxshack.com,0,0,1,4,0,0,0,0,0,1,0,0
giveaway.mydad.info,0,0,0,0,0,0,0,0,0,1,0,0
alert-payee-delete.com,0,0,0,2,0,0,0,1,0,1,0,0
littlefoots.ru,0,0,1,1,0,0,0,0,0,1,0,1
antommaths.com,0,0,1,6,0,0,0,0,0,1,0,1
smbc-carb.vip,0,0,0,0,0,0,0,1,0,1,1,1
facealert.fr,0,0,0,0,0,0,0,0,0,1,0,0
hdmediahub.club,0,0,1,4,0,0,0,0,0,1,0,1
secure.login.aliexpress.com.coin-balance.com,0,0,1,1,0,0,0,1,0,1,0,1
ftp.mixi.guru,0,0,0,0,0,0,0,0,0,1,0,0
sppourt.ct.lp.rqocckretcreta.com,0,0,0,0,0,0,0,0,0,1,0,0
klsjdlfkjqslfkjsdlkfjldsfjldsf.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1
alamdi.net,0,0,0,1,0,0,0,0,0,1,0,1
alertabancainternet.com,0,0,0,1,0,0,1,0,0,1,0,0
lloyd-paymentsrewiew.com,0,0,0,0,0,0,0,1,0,1,0,0
medicalweedstoreusa.com,0,0,1,16,0,0,0,0,0,1,0,1
financiallifecoaching.builderallwp.com,0,0,1,3,0,0,0,0,0,1,0,0
clouddoc-authorize.firebaseapp.com,0,0,1,2,0,0,0,1,1,1,1,1
new-payee-lloyds.com,0,0,0,2,0,0,0,1,0,1,0,0
netorg6226424-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,1
dukkicilmo.wixsite.com,0,0,0,1,0,0,0,0,0,1,0,1
dkb-anmeldung.com,0,0,0,1,0,0,0,1,0,1,0,0
forms.office.com,0,0,1,2,0,0,0,0,0,1,0,1
emebfsasampaio.creatorlink.net,0,0,0,0,0,0,0,0,0,1,0,0
rakutoen-ta84.cc,0,0,0,0,0,0,0,1,0,1,0,0
veronikastringquartet.com,0,0,0,2,0,0,1,0,0,1,0,0
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,0
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,0
69.176.89.214,0,1,0,2,0,0,0,0,0,1,1,1
danielescivoli.it,0,0,1,2,0,0,0,0,0,1,0,1
retraiteenaction.ca,0,0,1,4,0,0,0,0,0,1,0,0
espacemessagerie.wixsite.com,0,0,0,1,0,0,0,0,0,1,0,1
esafetech-bd.com,0,0,1,4,0,0,0,1,0,1,0,0
test.kelltontech.net,0,0,1,5,0,0,0,0,0,1,0,0
fastpantech.com,0,0,0,1,0,0,0,0,0,1,0,1
frankdiekman.com,0,0,1,5,0,0,0,0,0,1,0,1
spk-service.de,0,0,1,1,0,0,0,1,0,1,1,1
raketenm-e5g00.cc,0,0,0,0,0,0,0,1,0,1,0,0
receptfritt-cialis.com,0,0,1,5,0,0,0,1,0,1,0,0
fedner.net,0,0,1,3,0,0,0,0,0,1,0,1
onlinebanking-logon-personal.com,0,0,0,0,0,0,0,1,0,1,0,0
vieuxshack.com,0,0,1,4,0,0,0,0,0,1,0,0
ativacao-online73681.com,0,0,1,2,0,0,0,1,0,1,0,0
bodegalatinacorp-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,1
link.do,0,0,1,1,1,0,0,0,0,1,0,1
firebasestorage.googleapis.com,0,1,1,5,0,0,1,0,1,0,1,1
account-update.security.syycgcajkcgwqocavh.top,0,0,1,0,0,0,0,1,0,1,0,0
delightontour.com,0,0,0,1,0,0,0,0,0,1,0,1
littleelmapartments.com,0,0,1,6,0,0,0,0,0,1,0,1
ebay.hvacmania.com,0,0,1,3,0,0,0,0,0,1,0,1
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,1
mydoccare.com,0,0,1,14,0,0,0,0,0,1,0,0
post.ch.u1293088.cp.regruhosting.ru,0,0,1,3,0,0,0,0,0,1,0,1
hilltopwashanddry.com,0,0,0,0,0,0,0,0,0,1,0,0
hetershaven.net,0,0,1,5,0,0,0,0,0,1,0,0
serviziapponline.com,0,0,0,0,0,0,0,0,0,1,0,0
jnovemmaone.cf,0,0,0,0,0,0,0,0,0,1,1,1
rubeeworks.com,0,0,1,7,0,0,0,0,0,1,0,0
shift2.com,0,0,1,5,0,0,0,0,0,1,0,0
i-m.mx,0,0,0,2,0,0,0,1,0,1,0,0
girokonto.sicherheitsverfahren-v2-cust28127733.ru,0,0,1,3,0,0,0,1,0,1,0,0
dexlerholdings.com,0,0,1,5,0,0,0,0,0,1,0,1
34.237.242.35.bc.googleusercontent.com,0,0,1,4,0,0,1,0,0,1,0,0
annazon-vpsupportinto-co-jp.isoajm-cxakl.top,0,0,1,0,0,0,0,1,0,1,0,0
i-m.mx,0,0,0,2,0,0,0,1,0,1,0,0
jp-rakuten.o-1.top,0,0,1,1,0,0,0,1,0,1,0,0
tnteu.ac.in,0,0,0,1,0,0,0,0,0,1,0,0
xyproject.xtensio.com,0,0,0,1,0,0,0,0,0,1,0,1
moj.aktiv.rs,0,0,0,3,0,0,0,0,0,1,1,0
birrasalentoshop.it,0,0,1,4,0,0,0,0,0,1,0,1
joined-groupz-hot.jetos.com,0,0,0,0,0,0,0,1,0,1,0,0
glighting-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,1
kantatradinghk.com,0,1,1,3,0,0,0,0,0,1,0,1
s.id,0,0,0,1,0,0,0,0,0,0,0,0
whattsapps.misecure.com,0,0,0,0,0,0,0,0,0,1,0,0
ebay.hvacmania.com,0,0,1,3,0,0,0,0,0,1,0,1
digitalflashbacks.ca,0,0,1,3,0,0,0,0,0,1,0,1
creditiperhabbogratissicuro100.blogspot.com,0,0,1,3,0,0,1,0,1,1,1,1
ebay.portlibertecontractor.com,0,0,1,3,0,0,0,0,0,1,0,0
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,0
taijishentie.com,0,0,1,2,1,0,0,0,0,1,0,0
verify-payee-update.com,0,0,0,1,0,0,0,1,0,1,0,0
adpunemploymentclaims.sharefile.com,0,0,1,2,0,0,0,0,0,1,0,0
accounts.google.com,0,0,1,1,1,0,1,0,0,1,0,0
045a3c0.wcomhost.com,0,0,1,4,0,0,1,0,0,1,0,0
vieuxshack.com,0,0,1,4,0,0,0,0,0,1,0,0
mentoring.beautyforashes.org,0,0,0,1,0,0,0,0,0,1,0,0
lueriawinery.com,0,0,1,4,0,0,0,0,0,1,0,0
suports-identity-page-notification.gq,0,0,0,0,0,0,0,1,0,1,1,1
mymentalhealthday.org,0,0,1,6,0,0,0,0,0,1,0,0
redirect.voici-news.fr,0,0,1,1,0,0,0,1,0,1,0,0
stolizaparketa.ru,0,0,1,7,0,0,0,0,0,1,0,0
cleanupcongresspac.com,0,0,0,2,0,0,0,0,0,1,0,0
dev.klinikmatanusantara.com,0,0,1,5,0,0,0,0,0,1,0,0
norcaltc-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,1
proszuby.ru,0,0,1,3,0,0,0,0,0,1,0,1
theavon.co.zw,0,0,0,1,0,0,0,0,0,1,1,1
