,phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
0,6889606,https://accf-cambodia-france.com/wp-includes/specialpages/process.php?across=10kfrx59c6zaeb&distance=upon&street=low,http://www.phishtank.com/phish_detail.php?phish_id=6889606,2020-12-14T04:13:42+00:00,yes,2020-12-17T11:18:34+00:00,yes,ABSA Bank
1,7019230,http://bit.ly/38A9uMK,http://www.phishtank.com/phish_detail.php?phish_id=7019230,2021-03-13T22:08:34+00:00,yes,2021-03-15T01:30:58+00:00,yes,RuneScape
2,6841514,http://www.mistimbas.com/tmp,http://www.phishtank.com/phish_detail.php?phish_id=6841514,2020-11-09T22:47:43+00:00,yes,2020-11-09T22:50:57+00:00,yes,Other
3,6999616,https://www.support-confirm-newtransfers.com/Login.php,http://www.phishtank.com/phish_detail.php?phish_id=6999616,2021-03-04T11:28:33+00:00,yes,2021-03-04T12:30:05+00:00,yes,Other
4,5933732,http://ckmadae.com/1122//?sec=Birgit%20Selter-Eickholt,http://www.phishtank.com/phish_detail.php?phish_id=5933732,2019-02-10T22:40:13+00:00,yes,2019-02-21T23:10:31+00:00,yes,Other
5,6782921,http://xjupu.mjt.lu/lnk/AVIAAA57G3YAAAAAAAAAAK7dtO8AAYCrl28AAAAAABUxmQBfbak0Q--vxySaQ_6d0h5BMkXBSwAU-oQ/2/eRlXXvw7YxMx9iCznWjVsg/aHR0cHM6Ly9qb2hhbm5lc3NzY2luZGVycy5kZS9pbmRleA,http://www.phishtank.com/phish_detail.php?phish_id=6782921,2020-09-25T12:03:37+00:00,yes,2020-10-11T07:27:44+00:00,yes,"eBay, Inc."
6,6995790,https://new-online-banking.com/lloyds/,http://www.phishtank.com/phish_detail.php?phish_id=6995790,2021-03-02T11:50:36+00:00,yes,2021-03-02T11:52:41+00:00,yes,Lloyds Bank
7,6388594,http://snrsystem.com/loop,http://www.phishtank.com/phish_detail.php?phish_id=6388594,2020-02-06T02:07:10+00:00,yes,2020-02-19T03:36:02+00:00,yes,Other
8,6995381,https://c-dkassinaletriclientesgv.com/WERTGHJH7G6F5D4S3D4F5G6H/MLV3S4D5F6G7H8J9K4D5F6G/,http://www.phishtank.com/phish_detail.php?phish_id=6995381,2021-03-02T02:08:10+00:00,yes,2021-03-02T02:22:32+00:00,yes,Other
9,6851484,https://linktr.ee/GlacierIce,http://www.phishtank.com/phish_detail.php?phish_id=6851484,2020-11-16T21:26:30+00:00,yes,2020-11-21T09:14:36+00:00,yes,Other
10,6963319,http://allertmediawebconnectactivityalertqerwbvq.000webhostapp.com/Comcast_Xfinity/Comcast_Xfinity/,http://www.phishtank.com/phish_detail.php?phish_id=6963319,2021-02-11T14:00:26+00:00,yes,2021-02-11T14:02:37+00:00,yes,Other
11,5963118,http://78.143.96.35/wordpress/gam/index.php?bidderblocklogin&amp;hc=1&amp;hc=1&amp;hc=1&amp;hm=uk`1d72fj2b2vi&amp;lt;265&amp;hm=uk`1d72fj2b2vi&amp;lt;265bidderblocklogin&amp;hm=uk`1d72fj2b2vi&amp;lt;265bidderblocklogin,http://www.phishtank.com/phish_detail.php?phish_id=5963118,2019-03-10T11:06:36+00:00,yes,2019-04-07T15:08:09+00:00,yes,Other
12,6872058,https://offal.odoo.com/,http://www.phishtank.com/phish_detail.php?phish_id=6872058,2020-12-02T12:38:04+00:00,yes,2020-12-25T21:29:49+00:00,yes,Other
13,6851518,https://lnkd.in/dvewNPt,http://www.phishtank.com/phish_detail.php?phish_id=6851518,2020-11-16T22:06:16+00:00,yes,2020-11-30T21:13:01+00:00,yes,Internal Revenue Service
14,6852496,http://englishstudio.ir/layout/,http://www.phishtank.com/phish_detail.php?phish_id=6852496,2020-11-17T14:06:49+00:00,yes,2020-11-17T14:13:18+00:00,yes,Other
15,6887397,http://europemax.in,http://www.phishtank.com/phish_detail.php?phish_id=6887397,2020-12-11T21:57:22+00:00,yes,2021-01-19T03:37:28+00:00,yes,Other
